datetime,lvl_cm,temp_C
2024-08-28 14:00:00,808.43,9.127
2024-08-28 14:30:00,808.34,9.02
2024-08-28 15:00:00,808.39,8.935
2024-08-28 15:30:00,808.2,8.881
2024-08-28 16:00:00,808.07,8.854
2024-08-28 16:30:00,808.03,8.862
2024-08-28 17:00:00,808.01,8.895
2024-08-28 17:30:00,808.27,9.009
2024-08-28 18:00:00,808.48,9.17
2024-08-28 18:30:00,808.52,9.285
2024-08-28 19:00:00,808.55,9.557
2024-08-28 19:30:00,808.23,10.065
2024-08-28 20:00:00,808.24,10.48
2024-08-28 20:30:00,808.17,10.894
2024-08-28 21:00:00,808.23,11.431
2024-08-28 21:30:00,808.24,12.012
2024-08-28 22:00:00,808.12,12.573
2024-08-28 22:30:00,807.21,13.064
2024-08-28 23:00:00,806.93,13.276
2024-08-28 23:30:00,806.82,13.201
2024-08-29 00:00:00,806.71,13.055
2024-08-29 00:30:00,806.6,12.911
2024-08-29 01:00:00,806.44,12.777
2024-08-29 01:30:00,806.48,12.644
2024-08-29 02:00:00,806.53,12.525
2024-08-29 02:30:00,806.61,12.446
2024-08-29 03:00:00,806.72,12.364
2024-08-29 03:30:00,806.64,12.223
2024-08-29 04:00:00,806.75,12.111
2024-08-29 04:30:00,806.76,11.992
2024-08-29 05:00:00,806.72,11.881
2024-08-29 05:30:00,806.72,11.759
2024-08-29 06:00:00,806.81,11.636
2024-08-29 06:30:00,806.74,11.514
2024-08-29 07:00:00,806.82,11.392
2024-08-29 07:30:00,806.95,11.274
2024-08-29 08:00:00,807.08,11.157
2024-08-29 08:30:00,807.22,11.046
2024-08-29 09:00:00,807.15,10.936
2024-08-29 09:30:00,807.27,10.825
2024-08-29 10:00:00,807.29,10.712
2024-08-29 10:30:00,807.36,10.592
2024-08-29 11:00:00,807.26,10.483
2024-08-29 11:30:00,807.29,10.356
2024-08-29 12:00:00,807.28,10.245
2024-08-29 12:30:00,807.32,10.139
2024-08-29 13:00:00,807.25,10.027
2024-08-29 13:30:00,807.5,9.902
2024-08-29 14:00:00,807.61,9.796
2024-08-29 14:30:00,807.74,9.69
2024-08-29 15:00:00,807.75,9.584
2024-08-29 15:30:00,807.69,9.496
2024-08-29 16:00:00,807.67,9.465
2024-08-29 16:30:00,807.65,9.479
2024-08-29 17:00:00,807.71,9.526
2024-08-29 17:30:00,807.86,9.619
2024-08-29 18:00:00,807.92,9.695
2024-08-29 18:30:00,807.95,9.755
2024-08-29 19:00:00,808.23,9.983
2024-08-29 19:30:00,808.26,10.4
2024-08-29 20:00:00,808.13,10.817
2024-08-29 20:30:00,808.04,11.252
2024-08-29 21:00:00,808.19,11.705
2024-08-29 21:30:00,808.1,12.077
2024-08-29 22:00:00,808.18,12.555
2024-08-29 22:30:00,807.6,13.021
2024-08-29 23:00:00,807.12,13.338
2024-08-29 23:30:00,807.11,13.52
2024-08-30 00:00:00,807.04,13.479
2024-08-30 00:30:00,806.81,13.325
2024-08-30 01:00:00,806.85,13.152
2024-08-30 01:30:00,806.84,13.032
2024-08-30 02:00:00,806.76,12.923
2024-08-30 02:30:00,806.89,12.795
2024-08-30 03:00:00,806.96,12.677
2024-08-30 03:30:00,807.08,12.557
2024-08-30 04:00:00,807.1,12.427
2024-08-30 04:30:00,807.01,12.302
2024-08-30 05:00:00,806.94,12.18
2024-08-30 05:30:00,806.91,12.055
2024-08-30 06:00:00,806.84,11.929
2024-08-30 06:30:00,806.8,11.797
2024-08-30 07:00:00,806.65,11.661
2024-08-30 07:30:00,806.47,11.538
2024-08-30 08:00:00,806.34,11.414
2024-08-30 08:30:00,806.07,11.295
2024-08-30 09:00:00,805.96,11.173
2024-08-30 09:30:00,805.99,11.046
2024-08-30 10:00:00,806.02,10.916
2024-08-30 10:30:00,806.02,10.784
2024-08-30 11:00:00,806.2,10.665
2024-08-30 11:30:00,806.38,10.553
2024-08-30 12:00:00,806.58,10.427
2024-08-30 12:30:00,806.84,10.305
2024-08-30 13:00:00,806.97,10.21
2024-08-30 13:30:00,807.2,10.066
2024-08-30 14:00:00,807.4,9.974
2024-08-30 14:30:00,807.66,9.86
2024-08-30 15:00:00,807.73,9.822
2024-08-30 15:30:00,807.75,9.72
2024-08-30 16:00:00,807.87,9.702
2024-08-30 16:30:00,807.85,9.703
2024-08-30 17:00:00,807.88,9.722
2024-08-30 17:30:00,808.13,9.862
2024-08-30 18:00:00,808.11,9.868
2024-08-30 18:30:00,808.17,9.913
2024-08-30 19:00:00,808.46,10.139
2024-08-30 19:30:00,808.57,10.529
2024-08-30 20:00:00,808.5,10.84
2024-08-30 20:30:00,808.52,11.159
2024-08-30 21:00:00,808.19,11.375
2024-08-30 21:30:00,808.14,11.668
2024-08-30 22:00:00,808.09,12.094
2024-08-30 22:30:00,807.99,12.549
2024-08-30 23:00:00,807.77,12.878
2024-08-30 23:30:00,807.65,13.051
2024-08-31 00:00:00,807.56,13.16
2024-08-31 00:30:00,807.35,13.062
2024-08-31 01:00:00,807.02,12.894
2024-08-31 01:30:00,806.63,12.748
2024-08-31 02:00:00,806.49,12.63
2024-08-31 02:30:00,806.51,12.518
2024-08-31 03:00:00,806.52,12.416
2024-08-31 03:30:00,806.54,12.282
2024-08-31 04:00:00,806.56,12.181
2024-08-31 04:30:00,806.38,12.066
2024-08-31 05:00:00,806.32,11.958
2024-08-31 05:30:00,806.18,11.837
2024-08-31 06:00:00,805.91,11.708
2024-08-31 06:30:00,805.57,11.584
2024-08-31 07:00:00,805.44,11.454
2024-08-31 07:30:00,805.3,11.332
2024-08-31 08:00:00,805.13,11.21
2024-08-31 08:30:00,804.9,11.091
2024-08-31 09:00:00,804.6,10.979
2024-08-31 09:30:00,804.44,10.869
2024-08-31 10:00:00,804.25,10.76
2024-08-31 10:30:00,804.15,10.648
2024-08-31 11:00:00,803.79,10.536
2024-08-31 11:30:00,803.62,10.436
2024-08-31 12:00:00,803.39,10.326
2024-08-31 12:30:00,803.1,10.226
2024-08-31 13:00:00,803.08,10.123
2024-08-31 13:30:00,803.19,10.029
2024-08-31 14:00:00,803.3,9.937
2024-08-31 14:30:00,803.22,9.842
2024-08-31 15:00:00,803.12,9.752
2024-08-31 15:30:00,803.07,9.693
2024-08-31 16:00:00,802.97,9.661
2024-08-31 16:30:00,802.88,9.666
2024-08-31 17:00:00,802.77,9.665
2024-08-31 17:30:00,803.01,9.787
2024-08-31 18:00:00,803.01,9.811
2024-08-31 18:30:00,803.21,9.934
2024-08-31 19:00:00,803.3,10.178
2024-08-31 19:30:00,803.08,10.614
2024-08-31 20:00:00,802.86,10.909
2024-08-31 20:30:00,802.75,11.286
2024-08-31 21:00:00,802.63,11.743
2024-08-31 21:30:00,801.75,12.298
2024-08-31 22:00:00,801.07,12.863
2024-08-31 22:30:00,800.97,13.395
2024-08-31 23:00:00,800.88,13.69
2024-08-31 23:30:00,800.62,13.731
2024-09-01 00:00:00,800.41,13.74
2024-09-01 00:30:00,800.11,13.65
2024-09-01 01:00:00,799.95,13.526
2024-09-01 01:30:00,799.68,13.438
2024-09-01 02:00:00,799.41,13.285
2024-09-01 02:30:00,799.39,13.13
2024-09-01 03:00:00,799.4,12.983
2024-09-01 03:30:00,799.53,12.831
2024-09-01 04:00:00,799.52,12.676
2024-09-01 04:30:00,799.52,12.534
2024-09-01 05:00:00,799.32,12.383
2024-09-01 05:30:00,799.11,12.25
2024-09-01 06:00:00,798.93,12.109
2024-09-01 06:30:00,798.59,11.977
2024-09-01 07:00:00,798.42,11.834
2024-09-01 07:30:00,798.3,11.7
2024-09-01 08:00:00,798.09,11.568
2024-09-01 08:30:00,797.73,11.433
2024-09-01 09:00:00,797.47,11.293
2024-09-01 09:30:00,797.24,11.164
2024-09-01 10:00:00,796.98,11.037
2024-09-01 10:30:00,796.74,10.917
2024-09-01 11:00:00,796.48,10.81
2024-09-01 11:30:00,796.29,10.702
2024-09-01 12:00:00,796.1,10.574
2024-09-01 12:30:00,795.91,10.471
2024-09-01 13:00:00,795.77,10.354
